timestamp,economic,commercial air traffic,walmart
12/14/2013 20:10,371.781914309,319.540382299,321.581375839
12/14/2013 20:20,371.781914309,319.540382299,325.293624161
12/14/2013 20:30,371.781914309,319.540382299,325.293624161
12/14/2013 20:40,371.781914309,319.540382299,325.293624161
12/14/2013 20:50,371.781914309,319.540382299,325.0
12/14/2013 21:00,371.781914309,319.540382299,325.0
12/14/2013 21:10,371.781914309,319.540382299,325.230704698
12/14/2013 21:20,371.781914309,319.540382299,325.230704698
12/14/2013 21:30,390.898738608,357.440346207,355.725671141
12/14/2013 21:40,390.898738608,357.440346207,356.124161074
12/14/2013 21:50,357.309132553,355.606259655,348.196308725
12/14/2013 22:00,357.309132553,355.606259655,348.196308725
12/14/2013 22:10,357.309132553,355.606259655,346.875
12/14/2013 22:20,357.309132553,355.606259655,346.875
12/14/2013 22:30,357.309132553,355.606259655,346.20385906
12/14/2013 22:40,357.309132553,355.606259655,346.53942953
12/14/2013 22:50,355.610896834,355.606259655,343.791946309
12/14/2013 23:00,355.610896834,355.606259655,344.127516779
12/14/2013 23:10,406.780211943,355.606259655,352.516778523
12/14/2013 23:20,406.780211943,347.90333046,351.468120805
12/14/2013 23:30,406.780211943,347.90333046,351.468120805
12/14/2013 23:40,406.780211943,347.90333046,351.468120805
12/14/2013 23:50,406.780211943,347.90333046,351.468120805
12/15/2013 00:10,406.780211943,347.90333046,350.209731544
12/15/2013 00:20,406.780211943,347.90333046,349.895134228
12/15/2013 00:30,406.780211943,347.90333046,349.454697987
12/15/2013 00:40,406.780211943,347.90333046,349.454697987
12/15/2013 00:50,406.780211943,347.90333046,349.727348993
12/15/2013 01:00,406.780211943,347.90333046,348.930369128
12/15/2013 01:10,406.780211943,347.90333046,344.819630872
12/15/2013 01:20,406.780211943,347.90333046,344.819630872
12/15/2013 01:30,406.780211943,347.90333046,344.819630872
12/15/2013 01:40,406.780211943,347.90333046,344.819630872
12/15/2013 01:50,384.638723864,343.876506782,344.442114094
12/15/2013 02:00,385.920352767,345.57538954,344.90352349
12/15/2013 02:10,385.920352767,345.57538954,344.90352349
12/15/2013 02:20,385.920352767,345.57538954,345.029362416
12/15/2013 02:30,385.920352767,345.57538954,345.029362416
12/15/2013 02:40,385.920352767,345.57538954,345.616610738
12/15/2013 02:50,385.920352767,345.57538954,345.616610738
12/15/2013 03:00,385.920352767,345.57538954,345.847315436
12/15/2013 03:10,385.920352767,338.700829885,344.400167785
12/15/2013 03:20,385.920352767,338.700829885,344.022651007
12/15/2013 03:30,385.920352767,338.700829885,344.022651007
12/15/2013 03:50,382.471470318,336.652532299,341.77852349
12/15/2013 04:00,382.471470318,336.652532299,341.77852349
12/15/2013 04:20,376.679633971,335.430873678,321.287751678
12/15/2013 04:30,365.608889932,335.430873678,321.329697987
12/15/2013 04:40,376.679633971,335.430873678,320.406879195
12/15/2013 04:50,376.679633971,335.430873678,320.071308725
12/15/2013 05:00,376.679633971,335.430873678,320.071308725
12/15/2013 05:10,310.962885451,335.430873678,294.651845638
12/15/2013 05:20,310.962885451,335.430873678,294.651845638
12/15/2013 05:30,312.05796669,336.11966977,295.281040268
12/15/2013 05:40,312.05796669,336.11966977,295.281040268
12/15/2013 05:50,312.05796669,336.11966977,295.281040268
12/15/2013 06:00,313.447881254,339.266343678,296.895973154
12/15/2013 06:10,226.981539617,238.972296437,252.411912752
12/15/2013 06:20,226.981539617,238.972296437,252.411912752
12/15/2013 06:30,226.981539617,238.972296437,252.411912752
12/15/2013 06:40,219.654731401,235.382480115,247.651006711
12/15/2013 06:50,219.654731401,235.382480115,247.671979866
12/15/2013 07:00,219.654731401,235.382480115,247.671979866
12/15/2013 07:10,219.654731401,235.382480115,247.252516779
12/15/2013 07:20,219.654731401,235.382480115,247.713926174
12/15/2013 07:30,219.654731401,235.382480115,247.713926174
12/15/2013 07:40,219.654731401,235.382480115,247.713926174
12/15/2013 07:50,219.654731401,235.382480115,244.442114094
12/15/2013 08:00,219.654731401,235.382480115,244.442114094
12/15/2013 08:10,218.673624347,233.683597356,243.980704698
12/15/2013 08:20,218.673624347,233.683597356,243.980704698
12/15/2013 08:30,219.897716049,234.38363931,245.364932886
12/15/2013 08:40,219.897716049,234.38363931,245.364932886
12/15/2013 08:50,220.206037203,231.236965402,244.90352349
12/15/2013 09:00,220.206037203,231.236965402,244.90352349
12/15/2013 09:10,209.171339495,229.400315747,236.094798658
12/15/2013 09:20,210.486219357,230.232026092,236.723993289
12/15/2013 09:30,183.264498086,185.86293023,168.41442953
12/15/2013 09:40,182.963976238,185.86293023,167.848154362
12/15/2013 09:50,182.963976238,185.86293023,167.848154362
12/15/2013 10:00,181.933669172,184.417891954,168.372483221
12/15/2013 10:10,181.933669172,184.417891954,167.218959732
12/15/2013 10:20,181.933669172,184.417891954,167.218959732
12/15/2013 10:30,181.933669172,184.417891954,167.281879195
12/15/2013 10:40,181.933669172,184.417891954,165.121644295
12/15/2013 10:50,181.933669172,184.417891954,165.121644295
12/15/2013 11:00,181.933669172,184.417891954,164.786073826
12/15/2013 11:10,181.933669172,184.417891954,164.702181208
12/15/2013 11:20,181.933669172,184.417891954,164.702181208
12/15/2013 11:30,181.933669172,184.417891954,164.681208054
12/15/2013 11:40,181.933669172,184.417891954,164.681208054
12/15/2013 11:50,181.933669172,184.417891954,164.848993289
12/15/2013 12:00,171.486625124,176.946905632,159.962248322
12/15/2013 12:10,167.542425628,173.525428391,149.203020134
12/15/2013 12:20,167.542425628,173.525428391,149.203020134
12/15/2013 12:30,162.897152461,171.842920345,145.931208054
12/15/2013 12:40,161.198916743,171.842920345,139.660234899
12/15/2013 12:50,161.198916743,171.842920345,139.660234899
12/15/2013 13:00,161.198916743,171.842920345,139.618288591
12/15/2013 13:10,161.198916743,171.842920345,139.828020134
12/15/2013 13:20,161.198916743,171.842920345,139.618288591
12/15/2013 13:30,161.198916743,171.842920345,139.723154362
12/15/2013 13:40,161.198916743,171.842920345,139.618288591
12/15/2013 13:50,161.198916743,171.842920345,139.828020134
12/15/2013 14:00,161.198916743,171.842920345,134.85738255
12/15/2013 14:10,161.198916743,171.842920345,134.962248322
12/15/2013 14:20,161.198916743,171.842920345,135.19295302
12/15/2013 14:30,161.198916743,171.842920345,135.19295302
12/15/2013 14:40,161.198916743,171.842920345,134.983221477
12/15/2013 14:50,161.198916743,171.842920345,135.19295302
12/15/2013 15:00,161.198916743,171.842920345,135.360738255
12/15/2013 15:10,161.198916743,171.842920345,134.207214765
12/15/2013 15:20,161.198916743,171.842920345,134.165268456
12/15/2013 15:30,161.198916743,171.842920345,134.165268456
12/15/2013 15:40,161.198916743,167.991455747,134.354026846
12/15/2013 15:50,161.198916743,167.991455747,134.354026846
12/15/2013 16:00,161.198916743,167.991455747,134.354026846
